On Time,Off Time,Running Duration,Off Duration
2020-12-15 05:32:03+00:00,2020-12-15 05:55:19+00:00,0:23:16,0:04:47
2020-12-15 06:00:06+00:00,2020-12-15 07:20:56+00:00,1:20:50,0:27:16
2020-12-15 07:48:12+00:00,2020-12-15 08:35:32+00:00,0:47:20,0:29:30
2020-12-15 09:05:02+00:00,2020-12-15 09:48:59+00:00,0:43:57,0:30:06
2020-12-15 10:19:05+00:00,2020-12-15 11:01:20+00:00,0:42:15,0:30:36
2020-12-15 11:31:56+00:00,2020-12-15 12:13:33+00:00,0:41:37,0:31:10
2020-12-15 12:44:43+00:00,2020-12-15 13:25:26+00:00,0:40:43,0:30:56
2020-12-15 13:56:22+00:00,2020-12-15 14:37:07+00:00,0:40:45,0:31:24
2020-12-15 15:08:31+00:00,2020-12-15 15:48:07+00:00,0:39:36,0:30:54
2020-12-15 16:19:01+00:00,2020-12-15 16:57:55+00:00,0:38:54,0:31:22
2020-12-15 17:29:17+00:00,2020-12-15 18:07:35+00:00,0:38:18,0:31:28
2020-12-15 18:39:03+00:00,2020-12-15 19:17:45+00:00,0:38:42,0:31:40
2020-12-15 19:49:25+00:00,2020-12-15 20:28:18+00:00,0:38:53,0:31:41
2020-12-15 20:59:59+00:00,2020-12-15 21:38:28+00:00,0:38:29,0:31:45
2020-12-15 22:10:13+00:00,2020-12-15 22:48:37+00:00,0:38:24,0:31:39
2020-12-15 23:20:16+00:00,2020-12-15 23:59:04+00:00,0:38:48,0:31:35
2020-12-16 00:30:39+00:00,2020-12-16 01:09:28+00:00,0:38:49,0:31:46
2020-12-16 01:41:14+00:00,2020-12-16 02:19:16+00:00,0:38:02,0:31:24
2020-12-16 02:50:40+00:00,2020-12-16 03:28:44+00:00,0:38:04,0:31:34
2020-12-16 04:00:18+00:00,2020-12-16 04:37:55+00:00,0:37:37,0:31:46
2020-12-16 05:09:41+00:00,2020-12-16 05:47:57+00:00,0:38:16,0:31:48
2020-12-16 06:19:45+00:00,2020-12-16 06:58:08+00:00,0:38:23,0:31:49
2020-12-16 07:29:57+00:00,2020-12-16 08:07:40+00:00,0:37:43,0:31:50
2020-12-16 08:39:30+00:00,2020-12-16 09:17:04+00:00,0:37:34,0:31:37
2020-12-16 09:48:41+00:00,2020-12-16 10:26:35+00:00,0:37:54,0:31:37
2020-12-16 10:58:12+00:00,2020-12-16 11:36:20+00:00,0:38:08,0:31:21
