time,voltage,current,frequency,power
287,122.878125,0.006,395.508,0.73726875
288,122.878125,0.006,786.42,0.73726875
289,0.058125,0.006,60.0,0.00034875000000000005
290,73.545,0.003,60.0,0.220635
291,122.878125,0.004,60.0,0.4915125
292,122.878125,0.004,60.0,0.4915125
293,79.43062499999999,0.003,60.0,0.238291875
294,122.878125,0.004,60.0,0.4915125
295,108.793125,0.004,60.0,0.4351725
296,109.3875,0.004,60.0,0.43755
297,122.878125,0.004,786.42,0.4915125
298,49.651875000000004,0.003,60.0,0.148955625
299,122.878125,0.003,786.42,0.368634375
300,122.878125,0.003,786.42,0.368634375
301,122.878125,0.003,786.42,0.368634375
302,122.878125,0.003,786.42,0.368634375
303,122.878125,0.003,786.42,0.368634375
304,122.878125,0.003,786.42,0.368634375
305,122.878125,0.003,786.42,0.368634375
306,122.878125,0.003,60.0,0.368634375
307,122.878125,0.001,67.536,0.122878125
308,122.878125,0.005,60.0,0.614390625
309,122.878125,0.004,60.0,0.4915125
310,109.64812499999998,0.005,60.0,0.5482406249999999
311,81.58874999999999,0.004,60.0,0.32635499999999995
312,109.32750000000001,0.004,786.42,0.4373100000000001
313,122.878125,0.004,786.42,0.4915125
314,49.65,0.003,60.0,0.14895
315,122.878125,0.003,786.42,0.368634375
316,89.409375,0.003,60.0,0.268228125
317,111.358125,0.003,786.42,0.33407437500000003
318,49.651875000000004,0.003,60.0,0.148955625
319,122.878125,0.003,786.42,0.368634375
320,49.651875000000004,0.003,60.0,0.148955625
321,122.878125,0.003,786.42,0.368634375
322,49.653749999999995,0.003,60.0,0.14896125
323,122.878125,0.003,786.42,0.368634375
324,122.878125,0.003,786.42,0.368634375
325,122.878125,0.003,786.42,0.368634375
326,122.878125,0.003,786.42,0.368634375
327,122.878125,0.003,786.42,0.368634375
328,122.878125,0.001,148.62,0.122878125
329,0.001875,0.001,117.74400000000001,1.875e-06
330,0.058125,0.004,60.0,0.0002325
331,122.878125,0.004,60.0,0.4915125
332,69.365625,0.003,60.0,0.208096875
333,109.26000000000002,0.005,60.0,0.5463000000000001
334,95.1,0.007,60.0,0.6657
335,101.055,0.007,60.0,0.707385
336,93.99,0.007,60.0,0.65793
337,106.47,0.008,60.0,0.85176
338,87.045,0.007,60.0,0.609315
339,95.6625,0.004,60.0,0.38265
340,89.16375000000001,0.006,60.0,0.5349825
341,95.529375,0.004,60.0,0.3821175
342,103.569375,0.004,60.0,0.41427749999999997
343,103.670625,0.004,60.0,0.4146825
344,97.37437500000001,0.004,60.0,0.38949750000000005
345,99.87562499999999,0.004,60.0,0.3995024999999999
346,108.350625,0.004,60.0,0.43340249999999997
347,122.878125,0.004,786.42,0.4915125
348,122.878125,0.004,786.42,0.4915125
349,122.878125,0.004,786.42,0.4915125
350,122.878125,0.004,192.94799999999998,0.4915125
351,74.011875,0.004,60.0,0.2960475
352,122.878125,0.004,60.0,0.4915125
353,70.779375,0.003,60.0,0.21233812500000002
354,122.878125,0.003,60.0,0.368634375
