time,voltage,current,frequency,power
73,109.53,0.654,60.0,71.63262
74,108.793125,0.654,786.42,71.15070375
75,104.65874999999998,0.549,786.42,57.45765375
76,89.16749999999999,0.421,60.0,37.539517499999995
77,107.33062499999998,0.577,60.0,61.92977062499999
78,108.13125,0.609,60.0,65.85193124999999
79,100.52437499999999,0.481,60.0,48.35222437499999
80,88.38562499999999,0.436,60.0,38.536132499999994
81,102.45374999999999,0.495,60.0,50.714606249999996
82,108.913125,0.611,60.0,66.545919375
83,109.86187499999998,0.668,60.0,73.3877325
84,83.08874999999999,0.381,60.0,31.656813749999998
85,96.579375,0.484,60.0,46.7444175
86,108.85499999999999,0.614,60.0,66.83697
87,108.85124999999998,0.614,786.42,66.83466749999998
88,88.123125,0.433,60.0,38.157313125
89,108.733125,0.63,60.0,68.50186875
90,107.16,0.581,60.0,62.25995999999999
91,108.913125,0.637,60.0,69.37766062499999
92,108.204375,0.604,60.0,65.3554425
93,101.98499999999999,0.513,60.0,52.318304999999995
94,98.535,0.542,60.0,53.40597
95,108.12749999999998,0.602,60.0,65.09275499999998
96,101.82750000000001,0.521,60.0,53.05212750000001
97,98.994375,0.556,60.0,55.040872500000006
98,108.19874999999999,0.606,60.0,65.56844249999999
99,108.12937500000001,0.617,60.0,66.71582437500001
100,108.20250000000001,0.595,785.6640000000001,64.3804875
101,85.94812499999999,0.413,60.0,35.49657562499999
102,108.27375000000002,0.602,60.0,65.18079750000001
103,100.51124999999999,0.535,60.0,53.77351875
104,101.983125,0.512,60.0,52.215360000000004
105,78.81,0.378,60.0,29.79018
106,108.12749999999998,0.619,60.0,66.9309225
107,108.19874999999999,0.594,60.0,64.2700575
108,108.204375,0.608,786.42,65.78826
109,78.811875,0.348,60.0,27.426532499999997
110,108.204375,0.598,60.0,64.70621625
111,108.12937500000001,0.609,60.0,65.850789375
112,108.20062500000002,0.613,60.0,66.32698312500001
113,103.47,0.553,60.0,57.21891
114,95.746875,0.496,60.0,47.49045
115,108.85687500000002,0.624,60.0,67.92669000000001
116,108.05812499999999,0.603,60.0,65.159049375
117,85.95,0.411,60.0,35.32545
118,108.13125,0.596,60.0,64.446225
119,108.13312500000002,0.607,786.42,65.636806875
120,108.12749999999998,0.607,786.42,65.63339249999999
121,101.45812500000001,0.529,60.0,53.67134812500001
122,108.13312500000002,0.609,60.0,65.85307312500001
123,109.02375000000002,0.632,786.42,68.90301000000001
124,108.204375,0.632,784.8960000000001,68.385165
125,108.204375,0.632,786.42,68.385165
126,122.878125,0.632,786.42,77.658975
127,105.73687499999998,0.554,786.42,58.578228749999994
128,108.20062500000002,0.597,60.0,64.59577312500001
129,108.60375000000002,0.631,60.0,68.52896625000001
130,94.003125,0.438,60.0,41.17336875
131,89.169375,0.409,60.0,36.470274374999995
132,108.20250000000001,0.595,60.0,64.3804875
133,95.115,0.432,60.0,41.089679999999994
134,86.22749999999999,0.387,60.0,33.3700425
135,108.204375,0.596,60.0,64.4898075
